window_start,entropy_nose,entropy_left_wrist,entropy_right_wrist,entropy_shoulders,postural_stability,velocity_nose,velocity_left_wrist,velocity_right_wrist,gaze_proxy,symmetry,state
480.0,0.014785323127693501,0.009548776853823444,0.020753856148855932,0.0006927533612641242,0.0007111418775113453,0.01688355932203391,0.02279094915254237,0.026514118644067802,0.01688355932203391,0.0003418056582192089,R
485.0,0.014078460462879097,0.028523651394632477,0.02208934531693503,0.0012845765516234463,0.0009525574969442526,0.018329423728813576,0.028207644067796613,0.027865796610169496,0.018329423728813576,0.0013958990199322025,R
490.0,0.008430084153100002,0.028584095188524294,0.023385608148084457,0.0014109147300573447,0.0007471281088657119,0.017788237288135597,0.027198542372881357,0.025739016949152545,0.017788237288135597,0.0014508393901163858,R
495.0,0.006473173931637006,0.02725769000990707,0.011362645646415537,0.001230719405314972,0.0006407050328665261,0.01101228813559323,0.022457542372881358,0.02134940677966102,0.01101228813559323,0.0014404212919593216,R
500.0,0.001760852229432485,0.026577966005211284,0.007109206474385875,0.0007915766535768361,0.00030413884208467447,0.008239372881355938,0.017303694915254245,0.012808305084745765,0.008239372881355938,0.0014175063477991532,R
505.0,0.0006651446499451978,0.024230766321872883,0.006979287661545199,0.00033628462150141225,0.000237879108610779,0.006666000000000004,0.01551022033898306,0.010626271186440682,0.006666000000000004,0.0007917993581536715,R
510.0,0.0003337985413511301,0.022447030968694624,0.0014774878826223164,7.935311481892642e-05,0.00015121433255838263,0.003864694915254236,0.013026813559322042,0.007814084745762711,0.003864694915254236,0.0007438679502824855,R
515.0,0.00021566534746553676,0.0006469972187564974,0.0004539308379158195,5.9090540544632714e-05,0.00016216893479680333,0.001524508474576265,0.0063759322033898275,0.004843237288135593,0.001524508474576265,0.00015148684812203408,R
520.0,0.00027582269232175147,0.0008479461129124294,0.0005638551022661025,7.215519285141235e-05,0.00015404155386058717,0.003427203389830508,0.005875559322033889,0.004643711864406779,0.003427203389830508,0.00015132376990960469,R
525.0,0.00028456032464350284,0.0006681990153398307,0.0007949061809937861,5.632518618022593e-05,0.00010789170812696233,0.0035702881355932133,0.005249050847457614,0.005172186440677971,0.0035702881355932133,0.00011464898986864435,R
530.0,0.00033952348289887025,0.0004877828829214689,0.0007494491515488707,3.064682270169491e-05,4.6823008765518234e-05,0.0035261016949152467,0.004395423728813549,0.005200983050847464,0.0035261016949152467,6.493686400367238e-05,R
535.0,0.0003047379877282489,0.00031863886524039506,0.0006943431488912438,1.8951840257627124e-05,3.077814253094121e-05,0.003141559322033894,0.00432816949152541,0.005525440677966107,0.003141559322033894,3.230903606525433e-05,R
540.0,0.00023772314486073453,0.00024546163909237243,0.0005829582327875709,1.8819876853672324e-05,2.6991654958240874e-05,0.0030772881355932195,0.004580694915254224,0.006501474576271192,0.0030772881355932195,5.807966313361592e-05,R
545.0,0.00010205999082259887,0.0002587980349850279,0.0006323509991466097,1.936195067005649e-05,2.326426159749944e-05,0.003241355932203393,0.004163949152542366,0.008090508474576277,0.003241355932203393,6.164348010282489e-05,R
550.0,2.9965177897740117e-05,0.00019039564844858727,0.0008014663682166658,9.282119658757099e-06,1.4918878072462144e-05,0.0012823389830508532,0.0036205593220338915,0.009260813559322038,0.0012823389830508532,9.405707814322034e-05,R
555.0,1.0487385396327725e-05,0.0001813717934293782,0.0008374806897327679,5.0231753692090405e-06,1.6002881420887118e-05,0.001131762711864418,0.003023152542372872,0.009500101694915258,0.001131762711864418,0.0001134271079353107,R
560.0,3.410289139830515e-05,0.00018214805586327657,0.0008391810082867227,6.669284552259866e-06,1.3675077502139853e-05,0.0014924745762712039,0.0034201864406779576,0.009867305084745762,0.0014924745762712039,0.00011119830171186437,R
565.0,6.758686645197745e-05,0.00019157345832062148,0.0008115321652870057,1.2960621625706218e-05,1.9919438442284994e-05,0.0015106101694915411,0.004100881355932193,0.009746813559322037,0.0015106101694915411,9.733165773559324e-05,R
570.0,8.762141017146894e-05,0.0002217416973929379,0.0007509390755240109,1.532801066779665e-05,2.924580325239222e-05,0.0015513728813559458,0.004533491525423718,0.00912084745762712,0.0015513728813559458,5.413592853785306e-05,R
575.0,8.508789809152542e-05,0.00033929063543248567,0.0008604261426776834,1.5621607029943535e-05,2.5218022714014028e-05,0.0014640847457627238,0.006293576271186437,0.009559644067796611,0.0014640847457627238,5.700866279096033e-05,R
580.0,7.382635596327685e-05,0.0003699284726841808,0.0006380122855225991,1.3760141851694953e-05,2.0484962243323503e-05,0.0014184915254237338,0.007440627118644071,0.008755050847457624,0.0014184915254237338,1.691416672316363e-05,R
585.0,4.169042695988699e-05,0.0005895336381556496,0.0014736315033499997,1.3705464733050869e-05,2.1250609900609673e-05,0.001351491525423736,0.01008315254237289,0.009708525423728813,0.001351491525423736,7.738443733050737e-06,F
590.0,7.813657583898346e-06,0.0006742283545477399,0.001522556714559039,1.0871107319209066e-05,2.1083869392751412e-05,0.0009799999999999998,0.011087457627118654,0.011284033898305082,0.0009799999999999998,4.779450090706204e-05,F
595.0,6.415008206497207e-06,0.000677922005025706,0.0015572691777141245,1.0595321960451996e-05,2.1541425453246068e-05,0.0007513728813559304,0.011301152542372897,0.011473576271186437,0.0007513728813559304,4.525863029067792e-05,F
600.0,5.693758392655386e-06,0.0006864335777172314,0.0015613991279853114,1.1066063666384197e-05,1.9274930337178063e-05,0.0007113050847457604,0.011200898305084757,0.01133050847457627,0.0007113050847457604,4.418368332203374e-05,F
605.0,6.483498274293814e-06,0.0005258218906135593,0.0013641443679172313,1.0551997242655381e-05,1.5682012382794216e-05,0.0007201864406779708,0.010205406779661022,0.010503033898305085,0.0007201864406779708,8.716550819208932e-06,F
610.0,5.9165439183616215e-06,0.0005150348181725988,0.001351047414468926,7.828774005367229e-06,1.474958339248948e-05,0.0007876949152542413,0.010789694915254238,0.010316915254237287,0.0007876949152542413,1.267168525310731e-05,F
615.0,6.723206772598909e-06,0.00035786696646723185,0.0006277724883545202,6.521437136158193e-06,1.558186628418196e-05,0.000843220338983054,0.009962644067796612,0.008215237288135594,0.000843220338983054,1.1132706006779597e-05,F
620.0,5.996570706214727e-06,0.00028257339431158213,0.0005806617777420905,7.637333151129944e-06,1.2150457406865407e-05,0.0008775254237288189,0.009356118644067796,0.00776628813559322,0.0008775254237288189,2.1542124861016957e-05,F
625.0,6.390951970339008e-06,0.00027129615825706216,0.000570855493371469,8.568814051977404e-06,1.1797250644404743e-05,0.000962237288135594,0.008235152542372878,0.0076892372881355925,0.000962237288135594,1.0965387796611217e-06,F
630.0,5.569003531638431e-06,0.0005589981268268359,0.0010659229852598869,8.620923338700561e-06,1.6036723641202526e-05,0.0009501694915254256,0.010550508474576272,0.009265084745762708,0.0009501694915254256,2.7191099741525455e-05,F
635.0,6.539113484463271e-06,0.000637848062979378,0.0011363677363361582,9.316224051977407e-06,1.627109447356555e-05,0.0009777457627118615,0.01201486440677966,0.010433983050847454,0.0009777457627118615,1.7641490146892789e-06,F
640.0,8.278823316384166e-06,0.0006546442330607341,0.001175142839789548,9.248101416666676e-06,1.8209299545164604e-05,0.0010041186440677954,0.012332457627118647,0.010988999999999995,0.0010041186440677954,7.317747161016987e-07,F
645.0,9.406176172062144e-05,0.0008067901008697733,0.0012004619180045193,1.1309975935310735e-05,1.968027919982273e-05,0.0019781186440677922,0.01284498305084746,0.012423101694915251,0.0019781186440677922,2.7643151127118733e-06,F
650.0,0.00014943608349011299,0.0009453837213898302,0.0017242927782248586,1.1814104530790942e-05,1.9297970010659017e-05,0.0020958983050847445,0.012323169491525428,0.013856220338983044,0.0020958983050847445,7.5540974225988264e-06,F
655.0,0.00015214921133192084,0.001098159057902824,0.003908992564831639,1.2694980349999985e-05,1.9398053886962814e-05,0.002311322033898304,0.013804813559322036,0.01649130508474576,0.002311322033898304,2.409247645423712e-05,F
660.0,0.00023040684154886998,0.0011843045191974582,0.005379718499942092,1.3589501147740085e-05,1.9600126864651104e-05,0.002587203389830507,0.012735813559322035,0.01572354237288135,0.002587203389830507,1.554005485677974e-05,F
